date,vis,hom,vis_score,hom_score,line,tag
20020915,NWE,NYJ,44,7,1,1.0
20020915,NYG,STL,26,21,12,1.0
20020915,OAK,PIT,30,17,4,1.0
20020915,TAM,BAL,25,0,-4.5,1.0
20020915,TEN,DAL,13,21,-3.5,0.0
20020916,PHI,WAS,37,7,-3,1.0
20020922,BUF,DEN,23,28,7.5,1.0
20020922,CAR,MIN,21,14,6.5,1.0
20020922,CIN,ATL,3,30,7,0.0
20020922,CLE,TEN,31,28,4.5,1.0
20020922,DAL,PHI,13,44,10,0.0
20020922,GNB,DET,37,31,-7.5,0.0
20020922,IND,HOU,23,3,-10.5,1.0
20020922,KAN,NWE,38,41,8.5,1.0
20020922,NOR,CHI,29,23,-2,1.0
20020922,NYJ,MIA,3,30,6,0.0
20020922,SDG,ARI,23,15,-2.5,1.0
20020922,SEA,NYG,6,9,5.5,1.0
20020922,WAS,SFO,10,20,10,0.0
20020923,STL,TAM,14,26,-1.5,0.0
20020929,CAR,GNB,14,17,6.5,1.0
20020929,CHI,BUF,27,33,3,0.0
20020929,CLE,PIT,13,16,6,1.0
20020929,DAL,STL,13,10,12,1.0
20020929,HOU,PHI,17,35,19,1.0
20020929,MIA,KAN,30,48,-3,0.0
20020929,MIN,SEA,23,48,3,0.0
20020929,NOR,DET,21,26,-9,0.0
20020929,NWE,SDG,14,21,-3,0.0
20020929,NYG,ARI,7,21,-3,0.0
20020929,NYJ,JAX,3,28,3.5,0.0
20020929,TAM,CIN,35,7,-6.5,1.0
20020929,TEN,OAK,25,52,6.5,0.0
20020930,DEN,BAL,23,34,-9,0.0
20021006,ARI,CAR,16,13,5,1.0
20021006,BAL,CLE,26,21,6,1.0
20021006,CIN,IND,21,28,13.5,1.0
20021006,KAN,NYJ,29,25,-3,1.0
20021006,NWE,MIA,13,26,3,0.0
20021006,NYG,DAL,21,17,-1.5,1.0
20021006,OAK,BUF,49,31,-3,1.0
20021006,PHI,JAX,25,28,-3,0.0
20021006,PIT,NOR,29,32,3,0.0
20021006,SDG,DEN,9,26,6.5,0.0
20021006,STL,SFO,13,37,6,0.0
20021006,TAM,ATL,20,6,2.5,1.0
20021006,WAS,TEN,31,14,3.5,1.0
20021007,GNB,CHI,34,21,1,1.0
20021013,ATL,NYG,17,10,6,1.0
20021013,BAL,IND,20,22,6.5,1.0
20021013,BUF,HOU,31,24,-7,0.0
20021013,CAR,DAL,13,14,2,1.0
20021013,CLE,TAM,3,17,7.5,0.0
20021013,DET,MIN,24,31,4.5,0.0
20021013,GNB,NWE,28,10,4.5,1.0
20021013,JAX,TEN,14,23,-1.5,0.0
20021013,KAN,SDG,34,35,3,1.0
20021013,MIA,DEN,24,22,3.5,1.0
20021013,NOR,WAS,43,27,-1.5,1.0
20021013,OAK,STL,13,28,-7,0.0
20021013,PIT,CIN,34,7,-6.5,1.0
20021014,SFO,SEA,28,21,-3,1.0
20021020,BUF,MIA,23,10,6,1.0
20021020,CAR,ATL,0,30,4,0.0
20021020,CHI,DET,20,23,-3,0.0
20021020,DAL,ARI,6,9,3.5,1.0
20021020,DEN,KAN,37,34,-3,0.0
20021020,HOU,CLE,17,34,8.5,0.0
20021020,JAX,BAL,10,17,-1.5,0.0
20021020,MIN,NYJ,7,20,3,0.0
20021020,SDG,OAK,27,21,7,1.0
20021020,SEA,STL,20,37,6.5,0.0
20021020,SFO,NOR,27,35,1.5,0.0
20021020,TAM,PHI,10,20,3,0.0
20021020,WAS,GNB,9,30,7,0.0
20021021,IND,PIT,10,28,4.5,0.0
20021027,ARI,SFO,28,38,8.5,0.0
20021027,ATL,NOR,37,35,3.5,1.0
20021027,CHI,MIN,7,25,2,0.0
20021027,CLE,NYJ,24,21,3,1.0
